timestamp,aqi_value,category,parameter,reporting_area,state_code,latitude,longitude
2026-02-15,37,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-02-15,87,Moderate,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-02-16,38,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-02-16,49,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-02-17,23,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-02-17,103,Unhealthy for Sensitive Groups,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-02-18,25,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-02-18,119,Unhealthy for Sensitive Groups,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-02-19,33,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-02-19,57,Moderate,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-02-20,41,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-02-20,33,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-02-21,27,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-02-21,49,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-02-22,36,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-02-22,39,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-02-23,39,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-02-23,26,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-02-24,33,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-02-24,46,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-02-25,76,Moderate,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-02-25,29,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-02-26,85,Moderate,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-02-26,40,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-02-27,32,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-02-27,61,Moderate,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-02-28,36,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-02-28,74,Moderate,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-03-01,41,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-03-01,51,Moderate,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-03-02,34,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-03-02,37,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-03-03,32,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-03-03,46,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-03-04,76,Moderate,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-03-04,29,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-03-05,31,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-03-05,73,Moderate,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-03-06,33,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-03-06,37,Good,PM2.5,New York City Region,NY,40.8419,-73.8359
2026-03-07,24,Good,OZONE,New York City Region,NY,40.8419,-73.8359
2026-03-07,63,Moderate,PM2.5,New York City Region,NY,40.8419,-73.8359
