timestamp,complaint_count,complaint_ids
2026-02-15 01:00:00,3,"67994440,67992166,67999060"
2026-02-15 03:00:00,2,"68005576,68000108"
2026-02-15 04:00:00,2,"68006713,68000150"
2026-02-15 05:00:00,1,68007740
2026-02-15 06:00:00,1,68000103
2026-02-15 07:00:00,4,"68002227,68006705,68007739,68005564"
2026-02-15 08:00:00,12,"68000102,68001172,68005483,68001241,68004326"
2026-02-15 09:00:00,17,"68000164,68002233,68005493,68006710,68005484"
2026-02-15 10:00:00,10,"68007751,68002226,68002231,68002234,68002293"
2026-02-15 11:00:00,18,"68007833,68005492,68006693,68000098,68001184"
2026-02-15 12:00:00,9,"68000099,68006614,68007837,68005485,68007832"
2026-02-15 13:00:00,16,"68003343,68000107,68006610,68006709,68005487"
2026-02-15 14:00:00,15,"68001235,68004398,68004401,68001170,68001181"
2026-02-15 15:00:00,20,"68007746,68007834,68004402,68007749,68000105"
2026-02-15 16:00:00,19,"68000100,68006603,68000165,68005566,68006708"
2026-02-15 17:00:00,13,"68000163,68001236,68004410,68000097,68001183"
2026-02-15 18:00:00,9,"68000166,68003341,68001175,68003282,68003289"
2026-02-15 19:00:00,6,"68001179,68004331,68005486,68006617,68006607"
2026-02-15 20:00:00,6,"68005489,68004396,68005563,68002225,68006615"
2026-02-15 21:00:00,2,"68003342,68006618"
2026-02-15 22:00:00,4,"68001180,68006712,68007835,68005480"
2026-02-15 23:00:00,6,"68001173,68006711,68004329,68004397,68004320"
2026-02-16 00:00:00,2,"68004403,68003288"
2026-02-16 01:00:00,3,"68007845,68007824,68004387"
2026-02-16 06:00:00,2,"68008971,68010284"
2026-02-16 07:00:00,5,"68012597,68017275,68010250,68013775,68010252"
2026-02-16 08:00:00,7,"68012594,68016136,68014959,68011422,68016140"
2026-02-16 09:00:00,9,"68012656,68014992,68010255,68011377,68011415"
2026-02-16 10:00:00,8,"68008976,68009024,68010246,68012648,68010247"
2026-02-16 11:00:00,18,"68012650,68012651,68010298,68012655,68014917"
2026-02-16 12:00:00,20,"68008975,68008986,68012605,68014918,68014914"
2026-02-16 13:00:00,18,"68008981,68008972,68010248,68010254,68011379"
2026-02-16 14:00:00,12,"68008987,68010245,68012601,68012603,68012608"
2026-02-16 15:00:00,14,"68016082,68017268,68010296,68017269,68011424"
2026-02-16 16:00:00,17,"68010303,68008982,68011374,68011376,68013773"
2026-02-16 17:00:00,11,"68017271,68013822,68016142,68010249,68010299"
2026-02-16 18:00:00,17,"68012658,68013774,68013824,68014915,68017332"
2026-02-16 19:00:00,2,"68017277,68016138"
2026-02-16 20:00:00,6,"68012592,68013789,68014920,68014921,68017340"
2026-02-16 21:00:00,8,"68014913,68016133,68008985,68012598,68014916"
2026-02-16 22:00:00,6,"68008979,68010251,68011421,68014963,68010297"
2026-02-16 23:00:00,2,"68016116,68016080"
2026-02-17 00:00:00,3,"68012593,68012647,68017339"
2026-02-17 01:00:00,2,"68014962,68013826"
2026-02-17 02:00:00,3,"68019938,68026847,68008984"
2026-02-17 03:00:00,3,"68022660,68021255,68028120"
2026-02-17 06:00:00,4,"68021256,68019919,68019926,68021316"
2026-02-17 07:00:00,24,"68018606,68025405,68018636,68019922,68023994"
2026-02-17 08:00:00,26,"68024063,68028124,68021348,68025397,68026755"
2026-02-17 09:00:00,22,"68024060,68019920,68019921,68023992,68025469"
2026-02-17 10:00:00,13,"68022677,68025445,68026753,68018660,68021257"
2026-02-17 11:00:00,17,"68020007,68026838,68024069,68020001,68020003"
2026-02-17 12:00:00,15,"68024008,68024043,68024067,68025474,68021342"
2026-02-17 13:00:00,25,"68028125,68019928,68025444,68024057,68019999"
2026-02-17 14:00:00,18,"68022608,68022596,68026796,68019939,68021260"
2026-02-17 15:00:00,18,"68026773,68028198,68022610,68026754,68021259"
2026-02-17 16:00:00,12,"68018657,68028189,68020008,68021340,68022601"
2026-02-17 17:00:00,25,"68026844,68021267,68024061,68022667,68023999"
2026-02-17 18:00:00,8,"68019942,68019944,68025472,68019931,68022604"
2026-02-17 19:00:00,14,"68023995,68026795,68026843,68024072,68021336"
2026-02-17 20:00:00,12,"68026840,68025415,68025483,68021334,68018576"
2026-02-17 21:00:00,9,"68018654,68028187,68026834,68019985,68025467"
2026-02-17 22:00:00,7,"68019941,68022609,68024062,68018656,68024009"
2026-02-17 23:00:00,2,"68028129,68024000"
2026-02-18 00:00:00,12,"68021335,68021339,68026841,68021274,68022670"
2026-02-18 01:00:00,4,"68028188,68022605,68024018,68024071"
2026-02-18 02:00:00,5,"68025438,68036891,68029394,68035571,68021290"
2026-02-18 03:00:00,2,"68036770,68029419"
2026-02-18 06:00:00,7,"68033071,68031905,68033124,68034336,68035593"
2026-02-18 07:00:00,22,"68031904,68031867,68035530,68038081,68033067"
2026-02-18 08:00:00,34,"68031939,68029330,68030701,68031861,68031865"
2026-02-18 09:00:00,44,"68033070,68033077,68035631,68036777,68031902"
2026-02-18 10:00:00,29,"68030606,68031938,68031962,68029318,68034330"
2026-02-18 11:00:00,28,"68029343,68031847,68031868,68035532,68029332"
2026-02-18 12:00:00,23,"68030698,68031872,68034409,68038096,68038097"
2026-02-18 13:00:00,21,"68031950,68034339,68035524,68036769,68038071"
2026-02-18 14:00:00,35,"68029344,68035611,68036863,68029406,68030686"
